,date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment,close_delta,close_direction,Stock_name
1259,2012-11-05,50.32,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.0,1,DISNEY
1258,2012-11-06,50.47,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.29809220985691287,1,DISNEY
1257,2012-11-07,50.08,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.7727362789776115,1,DISNEY
1256,2012-11-08,50.04,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.07987220447284175,1,DISNEY
1255,2012-11-09,47.06,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-5.955235811350914,0,DISNEY
1254,2012-11-12,47.45,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.828729281767957,1,DISNEY
1253,2012-11-13,47.96,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.0748155953635363,2,DISNEY
1252,2012-11-14,47.17,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-1.6472060050041684,0,DISNEY
1251,2012-11-15,47.47,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.63599745601017,1,DISNEY
1250,2012-11-16,47.42,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.10532968190435466,1,DISNEY
1249,2012-11-19,47.91,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.0333192745676822,2,DISNEY
1248,2012-11-20,48.44,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.1062408682947218,2,DISNEY
1247,2012-11-21,48.68,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.49545829892651116,1,DISNEY
1246,2012-11-23,49.26,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.1914543960558714,2,DISNEY
1245,2012-11-26,49.03,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.4669102720259783,1,DISNEY
1244,2012-11-27,48.6,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,4,-0.8770140730165198,1,DISNEY
