date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment
03-11-2017,172.5,1.3883,0.8181,23.7139,0.1316,6.5826,4
02-11-2017,168.11,1.3883,0.8181,23.7139,0.1316,6.5826,3
01-11-2017,166.89,1.3883,0.8181,23.7139,0.1316,6.5826,3
31-10-2017,169.04,1.3883,0.8181,23.7139,0.1316,6.5826,4
30-10-2017,166.72,1.3883,0.8181,23.7139,0.1316,6.5826,4
27-10-2017,163.05,1.3883,0.8181,23.7139,0.1316,6.5826,4
26-10-2017,157.41,1.3883,0.8181,23.7139,0.1316,6.5826,4
25-10-2017,156.41,1.3883,0.8181,23.7139,0.1316,6.5826,4
24-10-2017,157.1,1.3883,0.8181,23.7139,0.1316,6.5826,3
23-10-2017,156.17,1.3883,0.8181,23.7139,0.1316,6.5826,3
20-10-2017,156.25,1.3883,0.8181,23.7139,0.1316,6.5826,3
19-10-2017,155.98,1.3883,0.8181,23.7139,0.1316,6.5826,2
18-10-2017,159.76,1.3883,0.8181,23.7139,0.1316,6.5826,4
17-10-2017,160.47,1.3883,0.8181,23.7139,0.1316,6.5826,3
16-10-2017,159.88,1.3883,0.8181,23.7139,0.1316,6.5826,3
13-10-2017,156.99,1.3883,0.8181,23.7139,0.1316,6.5826,2
12-10-2017,156,1.3883,0.8181,23.7139,0.1316,6.5826,3
11-10-2017,156.55,1.3883,0.8181,23.7139,0.1316,6.5826,3
10-10-2017,155.9,1.3883,0.8181,23.7139,0.1316,6.5826,3
09-10-2017,155.84,1.3883,0.8181,23.7139,0.1316,6.5826,3
06-10-2017,155.3,1.3883,0.8181,23.7139,0.1316,6.5826,2
05-10-2017,155.39,1.3883,0.8181,23.7139,0.1316,6.5826,2
04-10-2017,153.48,1.3883,0.8181,23.7139,0.1316,6.5826,2
03-10-2017,154.48,1.3883,0.8181,23.7139,0.1316,6.5826,3
02-10-2017,153.81,1.3883,0.8181,23.7139,0.1316,6.5826,4
29-09-2017,154.12,1.3883,0.8181,23.7139,0.1316,6.5826,2
28-09-2017,153.28,1.3883,0.8181,23.7139,0.1316,6.5826,4
27-09-2017,154.23,1.3883,0.8181,23.7139,0.1316,6.5826,4
26-09-2017,153.14,1.3883,0.8181,23.7139,0.1316,6.5826,3
25-09-2017,150.55,1.3883,0.8181,23.7139,0.1316,6.5826,3
22-09-2017,151.89,1.3883,0.8181,23.7139,0.1316,6.5826,4
21-09-2017,153.39,1.3883,0.8181,23.7139,0.1316,6.5826,4
20-09-2017,156.07,1.3883,0.8181,23.7139,0.1316,6.5826,4
19-09-2017,158.73,1.3883,0.8181,23.7139,0.1316,6.5826,2
18-09-2017,158.67,1.3883,0.8181,23.7139,0.1316,6.5826,2
15-09-2017,159.88,1.3883,0.8181,23.7139,0.1316,6.5826,3
