date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment
03-11-2017,261.75,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
02-11-2017,262.63,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
01-11-2017,258.5,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
31-10-2017,257.98,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
30-10-2017,259.25,1.1875,-5.4474,11.1483,0.2526,-89.0293,5
27-10-2017,256.46,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
26-10-2017,259.27,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
25-10-2017,258.42,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
24-10-2017,266,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
23-10-2017,262.32,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
20-10-2017,264.75,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
19-10-2017,259.04,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
18-10-2017,260.04,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
17-10-2017,258.62,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
16-10-2017,259.75,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
13-10-2017,260.74,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
12-10-2017,261.91,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
11-10-2017,261.44,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
10-10-2017,260.93,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
09-10-2017,258.39,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
06-10-2017,258.58,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
05-10-2017,258.89,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
04-10-2017,255.76,1.1875,-5.4474,11.1483,0.2526,-89.0293,4
03-10-2017,255.46,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
02-10-2017,255.99,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
29-09-2017,254.21,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
28-09-2017,254.27,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
27-09-2017,255.28,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
26-09-2017,253.7,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
25-09-2017,254.32,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
22-09-2017,256.45,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
21-09-2017,256.04,1.1875,-5.4474,11.1483,0.2526,-89.0293,3
