date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment
03-11-2017,98.64,1.0033,0.4818,26.6049,0.1535,5.3723,3
02-11-2017,98.35,1.0033,0.4818,26.6049,0.1535,5.3723,3
01-11-2017,99.03,1.0033,0.4818,26.6049,0.1535,5.3723,3
31-10-2017,97.81,1.0033,0.4818,26.6049,0.1535,5.3723,3
30-10-2017,98.04,1.0033,0.4818,26.6049,0.1535,5.3723,3
27-10-2017,98.31,1.0033,0.4818,26.6049,0.1535,5.3723,3
26-10-2017,98.56,1.0033,0.4818,26.6049,0.1535,5.3723,3
25-10-2017,97.8,1.0033,0.4818,26.6049,0.1535,5.3723,3
24-10-2017,98.29,1.0033,0.4818,26.6049,0.1535,5.3723,3
23-10-2017,98.7,1.0033,0.4818,26.6049,0.1535,5.3723,3
20-10-2017,99.4,1.0033,0.4818,26.6049,0.1535,5.3723,3
19-10-2017,99.01,1.0033,0.4818,26.6049,0.1535,5.3723,3
18-10-2017,98.25,1.0033,0.4818,26.6049,0.1535,5.3723,3
17-10-2017,98.36,1.0033,0.4818,26.6049,0.1535,5.3723,4
16-10-2017,98.13,1.0033,0.4818,26.6049,0.1535,5.3723,3
13-10-2017,97.38,1.0033,0.4818,26.6049,0.1535,5.3723,2
12-10-2017,96.93,1.0033,0.4818,26.6049,0.1535,5.3723,2
11-10-2017,98.55,1.0033,0.4818,26.6049,0.1535,5.3723,3
10-10-2017,99.58,1.0033,0.4818,26.6049,0.1535,5.3723,3
09-10-2017,99.57,1.0033,0.4818,26.6049,0.1535,5.3723,4
06-10-2017,100.07,1.0033,0.4818,26.6049,0.1535,5.3723,2
05-10-2017,100.11,1.0033,0.4818,26.6049,0.1535,5.3723,3
04-10-2017,100.55,1.0033,0.4818,26.6049,0.1535,5.3723,4
03-10-2017,100.79,1.0033,0.4818,26.6049,0.1535,5.3723,4
02-10-2017,99.86,1.0033,0.4818,26.6049,0.1535,5.3723,3
29-09-2017,98.57,1.0033,0.4818,26.6049,0.1535,5.3723,3
28-09-2017,98.05,1.0033,0.4818,26.6049,0.1535,5.3723,3
27-09-2017,99.24,1.0033,0.4818,26.6049,0.1535,5.3723,3
26-09-2017,98.63,1.0033,0.4818,26.6049,0.1535,5.3723,3
25-09-2017,99.57,1.0033,0.4818,26.6049,0.1535,5.3723,3
