date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment
03-11-2017,20.14,1.848,1.7645,11.3167,0.0832,1.9781,3
02-11-2017,19.94,1.848,1.7645,11.3167,0.0832,1.9781,3
01-11-2017,20.02,1.848,1.7645,11.3167,0.0832,1.9781,3
31-10-2017,20.16,1.848,1.7645,11.3167,0.0832,1.9781,3
30-10-2017,20.41,1.848,1.7645,11.3167,0.0832,1.9781,3
27-10-2017,20.79,1.848,1.7645,11.3167,0.0832,1.9781,1
26-10-2017,21.32,1.848,1.7645,11.3167,0.0832,1.9781,1
25-10-2017,21.5,1.848,1.7645,11.3167,0.0832,1.9781,1
24-10-2017,21.89,1.848,1.7645,11.3167,0.0832,1.9781,1
23-10-2017,22.32,1.848,1.7645,11.3167,0.0832,1.9781,1
20-10-2017,23.83,1.848,1.7645,11.3167,0.0832,1.9781,2
19-10-2017,23.58,1.848,1.7645,11.3167,0.0832,1.9781,1
18-10-2017,23.12,1.848,1.7645,11.3167,0.0832,1.9781,3
17-10-2017,23.19,1.848,1.7645,11.3167,0.0832,1.9781,3
16-10-2017,23.36,1.848,1.7645,11.3167,0.0832,1.9781,2
13-10-2017,22.98,1.848,1.7645,11.3167,0.0832,1.9781,2
12-10-2017,23.05,1.848,1.7645,11.3167,0.0832,1.9781,2
11-10-2017,23.07,1.848,1.7645,11.3167,0.0832,1.9781,2
10-10-2017,23.36,1.848,1.7645,11.3167,0.0832,1.9781,2
09-10-2017,23.43,1.848,1.7645,11.3167,0.0832,1.9781,2
06-10-2017,24.39,1.848,1.7645,11.3167,0.0832,1.9781,2
05-10-2017,24.54,1.848,1.7645,11.3167,0.0832,1.9781,2
04-10-2017,24.48,1.848,1.7645,11.3167,0.0832,1.9781,2
03-10-2017,24.8,1.848,1.7645,11.3167,0.0832,1.9781,2
02-10-2017,24.57,1.848,1.7645,11.3167,0.0832,1.9781,3
29-09-2017,24.18,1.848,1.7645,11.3167,0.0832,1.9781,3
28-09-2017,24.24,1.848,1.7645,11.3167,0.0832,1.9781,3
27-09-2017,24.37,1.848,1.7645,11.3167,0.0832,1.9781,3
26-09-2017,24.93,1.848,1.7645,11.3167,0.0832,1.9781,3
25-09-2017,25.11,1.848,1.7645,11.3167,0.0832,1.9781,3
22-09-2017,24.87,1.848,1.7645,11.3167,0.0832,1.9781,3
21-09-2017,24.75,1.848,1.7645,11.3167,0.0832,1.9781,3
20-09-2017,24.32,1.848,1.7645,11.3167,0.0832,1.9781,3
19-09-2017,24.2,1.848,1.7645,11.3167,0.0832,1.9781,3
18-09-2017,24.46,1.848,1.7645,11.3167,0.0832,1.9781,2
15-09-2017,23.93,1.848,1.7645,11.3167,0.0832,1.9781,3
14-09-2017,24.26,1.848,1.7645,11.3167,0.0832,1.9781,3
