date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment
03-11-2017,151.58,1.2515,2.463,11.1411,0.1601,12.5748,3
02-11-2017,153.35,1.2515,2.463,11.1411,0.1601,12.5748,3
01-11-2017,154.03,1.2515,2.463,11.1411,0.1601,12.5748,3
31-10-2017,154.06,1.2515,2.463,11.1411,0.1601,12.5748,3
30-10-2017,154.36,1.2515,2.463,11.1411,0.1601,12.5748,3
27-10-2017,153.68,1.2515,2.463,11.1411,0.1601,12.5748,3
26-10-2017,153.6,1.2515,2.463,11.1411,0.1601,12.5748,3
25-10-2017,153.5,1.2515,2.463,11.1411,0.1601,12.5748,4
24-10-2017,155.88,1.2515,2.463,11.1411,0.1601,12.5748,4
23-10-2017,159.55,1.2515,2.463,11.1411,0.1601,12.5748,3
20-10-2017,162.07,1.2515,2.463,11.1411,0.1601,12.5748,3
19-10-2017,160.9,1.2515,2.463,11.1411,0.1601,12.5748,3
18-10-2017,159.53,1.2515,2.463,11.1411,0.1601,12.5748,5
17-10-2017,146.54,1.2515,2.463,11.1411,0.1601,12.5748,4
16-10-2017,146.83,1.2515,2.463,11.1411,0.1601,12.5748,4
13-10-2017,147.1,1.2515,2.463,11.1411,0.1601,12.5748,3
12-10-2017,147.03,1.2515,2.463,11.1411,0.1601,12.5748,3
11-10-2017,147.62,1.2515,2.463,11.1411,0.1601,12.5748,3
10-10-2017,148.5,1.2515,2.463,11.1411,0.1601,12.5748,3
09-10-2017,147.39,1.2515,2.463,11.1411,0.1601,12.5748,3
06-10-2017,146.48,1.2515,2.463,11.1411,0.1601,12.5748,3
05-10-2017,146.72,1.2515,2.463,11.1411,0.1601,12.5748,3
04-10-2017,146.48,1.2515,2.463,11.1411,0.1601,12.5748,4
03-10-2017,146.78,1.2515,2.463,11.1411,0.1601,12.5748,3
02-10-2017,146.66,1.2515,2.463,11.1411,0.1601,12.5748,3
29-09-2017,145.08,1.2515,2.463,11.1411,0.1601,12.5748,3
28-09-2017,145.66,1.2515,2.463,11.1411,0.1601,12.5748,3
27-09-2017,145.66,1.2515,2.463,11.1411,0.1601,12.5748,3
26-09-2017,146.56,1.2515,2.463,11.1411,0.1601,12.5748,3
25-09-2017,145.87,1.2515,2.463,11.1411,0.1601,12.5748,3
22-09-2017,145.13,1.2515,2.463,11.1411,0.1601,12.5748,3
21-09-2017,145.26,1.2515,2.463,11.1411,0.1601,12.5748,3
20-09-2017,145.88,1.2515,2.463,11.1411,0.1601,12.5748,3
19-09-2017,144.39,1.2515,2.463,11.1411,0.1601,12.5748,3
18-09-2017,144.55,1.2515,2.463,11.1411,0.1601,12.5748,3
15-09-2017,144.82,1.2515,2.463,11.1411,0.1601,12.5748,4
14-09-2017,145.54,1.2515,2.463,11.1411,0.1601,12.5748,3
13-09-2017,145.99,1.2515,2.463,11.1411,0.1601,12.5748,3
12-09-2017,145.76,1.2515,2.463,11.1411,0.1601,12.5748,3
11-09-2017,144.86,1.2515,2.463,11.1411,0.1601,12.5748,3
08-09-2017,142.45,1.2515,2.463,11.1411,0.1601,12.5748,3
07-09-2017,142.9,1.2515,2.463,11.1411,0.1601,12.5748,3
06-09-2017,143.82,1.2515,2.463,11.1411,0.1601,12.5748,3
05-09-2017,143.04,1.2515,2.463,11.1411,0.1601,12.5748,3
01-09-2017,144.08,1.2515,2.463,11.1411,0.1601,12.5748,3
31-08-2017,143.03,1.2515,2.463,11.1411,0.1601,12.5748,3
30-08-2017,142.56,1.2515,2.463,11.1411,0.1601,12.5748,3
29-08-2017,143.14,1.2515,2.463,11.1411,0.1601,12.5748,3
28-08-2017,142.51,1.2515,2.463,11.1411,0.1601,12.5748,3
25-08-2017,143.74,1.2515,2.463,11.1411,0.1601,12.5748,3
24-08-2017,142.94,1.2515,2.463,11.1411,0.1601,12.5748,3
23-08-2017,142.14,1.2515,2.463,11.1411,0.1601,12.5748,3
22-08-2017,141.01,1.2515,2.463,11.1411,0.1601,12.5748,3
21-08-2017,140.33,1.2515,2.463,11.1411,0.1601,12.5748,3
18-08-2017,139.7,1.2515,2.463,11.1411,0.1601,12.5748,3
17-08-2017,140.7,1.2515,2.463,11.1411,0.1601,12.5748,3
16-08-2017,142.5,1.2515,2.463,11.1411,0.1601,12.5748,3
15-08-2017,142.07,1.2515,2.463,11.1411,0.1601,12.5748,3
14-08-2017,142.32,1.2515,2.463,11.1411,0.1601,12.5748,3
11-08-2017,141.84,1.2515,2.463,11.1411,0.1601,12.5748,3
10-08-2017,141.84,1.2515,2.463,11.1411,0.1601,12.5748,3
09-08-2017,141.77,1.2515,2.463,11.1411,0.1601,12.5748,3
08-08-2017,142.11,1.2515,2.463,11.1411,0.1601,12.5748,3
07-08-2017,143.47,1.2515,2.463,11.1411,0.1601,12.5748,3
04-08-2017,145.16,1.2515,2.463,11.1411,0.1601,12.5748,3
03-08-2017,144.94,1.2515,2.463,11.1411,0.1601,12.5748,3
02-08-2017,144.45,1.2515,2.463,11.1411,0.1601,12.5748,3
01-08-2017,145.3,1.2515,2.463,11.1411,0.1601,12.5748,3
31-07-2017,144.67,1.2515,2.463,11.1411,0.1601,12.5748,3
28-07-2017,144.29,1.2515,2.463,11.1411,0.1601,12.5748,3
27-07-2017,145.07,1.2515,2.463,11.1411,0.1601,12.5748,3
26-07-2017,145.36,1.2515,2.463,11.1411,0.1601,12.5748,3
25-07-2017,146.19,1.2515,2.463,11.1411,0.1601,12.5748,3
24-07-2017,145.99,1.2515,2.463,11.1411,0.1601,12.5748,3
21-07-2017,147.08,1.2515,2.463,11.1411,0.1601,12.5748,3
20-07-2017,147.66,1.2515,2.463,11.1411,0.1601,12.5748,3
19-07-2017,147.53,1.2515,2.463,11.1411,0.1601,12.5748,3
18-07-2017,154,1.2515,2.463,11.1411,0.1601,12.5748,3
