date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment
03-11-2017,168.65,2.148,-14.1762,37.9374,0.1845,-69.7341,4
02-11-2017,168.1,2.148,-14.1762,37.9374,0.1845,-69.7341,4
01-11-2017,166.37,2.148,-14.1762,37.9374,0.1845,-69.7341,3
31-10-2017,166.91,2.148,-14.1762,37.9374,0.1845,-69.7341,3
30-10-2017,166.23,2.148,-14.1762,37.9374,0.1845,-69.7341,3
27-10-2017,165.39,2.148,-14.1762,37.9374,0.1845,-69.7341,3
26-10-2017,164.01,2.148,-14.1762,37.9374,0.1845,-69.7341,3
25-10-2017,163.58,2.148,-14.1762,37.9374,0.1845,-69.7341,3
24-10-2017,163.88,2.148,-14.1762,37.9374,0.1845,-69.7341,3
23-10-2017,163.34,2.148,-14.1762,37.9374,0.1845,-69.7341,3
20-10-2017,166.3,2.148,-14.1762,37.9374,0.1845,-69.7341,3
19-10-2017,166.5,2.148,-14.1762,37.9374,0.1845,-69.7341,3
18-10-2017,165.77,2.148,-14.1762,37.9374,0.1845,-69.7341,3
17-10-2017,165.4,2.148,-14.1762,37.9374,0.1845,-69.7341,3
16-10-2017,165.01,2.148,-14.1762,37.9374,0.1845,-69.7341,3
13-10-2017,165.37,2.148,-14.1762,37.9374,0.1845,-69.7341,3
12-10-2017,163.91,2.148,-14.1762,37.9374,0.1845,-69.7341,3
11-10-2017,163.15,2.148,-14.1762,37.9374,0.1845,-69.7341,3
10-10-2017,160.58,2.148,-14.1762,37.9374,0.1845,-69.7341,3
09-10-2017,160.12,2.148,-14.1762,37.9374,0.1845,-69.7341,3
06-10-2017,159.6,2.148,-14.1762,37.9374,0.1845,-69.7341,3
05-10-2017,158.8,2.148,-14.1762,37.9374,0.1845,-69.7341,3
04-10-2017,157.21,2.148,-14.1762,37.9374,0.1845,-69.7341,3
03-10-2017,156.86,2.148,-14.1762,37.9374,0.1845,-69.7341,3
02-10-2017,156.96,2.148,-14.1762,37.9374,0.1845,-69.7341,3
29-09-2017,156.68,2.148,-14.1762,37.9374,0.1845,-69.7341,3
28-09-2017,157.49,2.148,-14.1762,37.9374,0.1845,-69.7341,3
27-09-2017,154.05,2.148,-14.1762,37.9374,0.1845,-69.7341,3
26-09-2017,153.35,2.148,-14.1762,37.9374,0.1845,-69.7341,3
25-09-2017,156.26,2.148,-14.1762,37.9374,0.1845,-69.7341,3
22-09-2017,158.91,2.148,-14.1762,37.9374,0.1845,-69.7341,3
21-09-2017,159.03,2.148,-14.1762,37.9374,0.1845,-69.7341,3
20-09-2017,159.88,2.148,-14.1762,37.9374,0.1845,-69.7341,3
19-09-2017,157.43,2.148,-14.1762,37.9374,0.1845,-69.7341,3
18-09-2017,156.68,2.148,-14.1762,37.9374,0.1845,-69.7341,3
15-09-2017,156.92,2.148,-14.1762,37.9374,0.1845,-69.7341,3
14-09-2017,157,2.148,-14.1762,37.9374,0.1845,-69.7341,3
13-09-2017,157,2.148,-14.1762,37.9374,0.1845,-69.7341,3
12-09-2017,156.33,2.148,-14.1762,37.9374,0.1845,-69.7341,3
11-09-2017,161.53,2.148,-14.1762,37.9374,0.1845,-69.7341,3
08-09-2017,159.71,2.148,-14.1762,37.9374,0.1845,-69.7341,3
07-09-2017,159.9,2.148,-14.1762,37.9374,0.1845,-69.7341,2
06-09-2017,158.22,2.148,-14.1762,37.9374,0.1845,-69.7341,3
05-09-2017,159.1,2.148,-14.1762,37.9374,0.1845,-69.7341,3
01-09-2017,159.81,2.148,-14.1762,37.9374,0.1845,-69.7341,3
31-08-2017,159.97,2.148,-14.1762,37.9374,0.1845,-69.7341,3
30-08-2017,159.53,2.148,-14.1762,37.9374,0.1845,-69.7341,3
29-08-2017,159.38,2.148,-14.1762,37.9374,0.1845,-69.7341,3
28-08-2017,159.67,2.148,-14.1762,37.9374,0.1845,-69.7341,3
25-08-2017,158.82,2.148,-14.1762,37.9374,0.1845,-69.7341,3
24-08-2017,158.41,2.148,-14.1762,37.9374,0.1845,-69.7341,3
23-08-2017,158.81,2.148,-14.1762,37.9374,0.1845,-69.7341,3
22-08-2017,159.64,2.148,-14.1762,37.9374,0.1845,-69.7341,3
21-08-2017,158.36,2.148,-14.1762,37.9374,0.1845,-69.7341,3
18-08-2017,157.76,2.148,-14.1762,37.9374,0.1845,-69.7341,3
17-08-2017,157.89,2.148,-14.1762,37.9374,0.1845,-69.7341,3
16-08-2017,158.9,2.148,-14.1762,37.9374,0.1845,-69.7341,3
15-08-2017,157.62,2.148,-14.1762,37.9374,0.1845,-69.7341,3
14-08-2017,157.26,2.148,-14.1762,37.9374,0.1845,-69.7341,3
11-08-2017,157.3,2.148,-14.1762,37.9374,0.1845,-69.7341,3
10-08-2017,156.62,2.148,-14.1762,37.9374,0.1845,-69.7341,3
09-08-2017,154.92,2.148,-14.1762,37.9374,0.1845,-69.7341,3
08-08-2017,154.92,2.148,-14.1762,37.9374,0.1845,-69.7341,3
07-08-2017,154.97,2.148,-14.1762,37.9374,0.1845,-69.7341,3
04-08-2017,153.82,2.148,-14.1762,37.9374,0.1845,-69.7341,3
03-08-2017,154.72,2.148,-14.1762,37.9374,0.1845,-69.7341,3
02-08-2017,156.59,2.148,-14.1762,37.9374,0.1845,-69.7341,3
01-08-2017,154.04,2.148,-14.1762,37.9374,0.1845,-69.7341,3
31-07-2017,155.14,2.148,-14.1762,37.9374,0.1845,-69.7341,3
28-07-2017,155.85,2.148,-14.1762,37.9374,0.1845,-69.7341,3
27-07-2017,156.95,2.148,-14.1762,37.9374,0.1845,-69.7341,3
26-07-2017,156.51,2.148,-14.1762,37.9374,0.1845,-69.7341,3
25-07-2017,159.07,2.148,-14.1762,37.9374,0.1845,-69.7341,3
24-07-2017,151.85,2.148,-14.1762,37.9374,0.1845,-69.7341,3
21-07-2017,153.92,2.148,-14.1762,37.9374,0.1845,-69.7341,3
20-07-2017,154.21,2.148,-14.1762,37.9374,0.1845,-69.7341,4
19-07-2017,153.89,2.148,-14.1762,37.9374,0.1845,-69.7341,3
18-07-2017,153.96,2.148,-14.1762,37.9374,0.1845,-69.7341,3
17-07-2017,155.26,2.148,-14.1762,37.9374,0.1845,-69.7341,3
14-07-2017,155.28,2.148,-14.1762,37.9374,0.1845,-69.7341,3
13-07-2017,155.04,2.148,-14.1762,37.9374,0.1845,-69.7341,3
12-07-2017,156.58,2.148,-14.1762,37.9374,0.1845,-69.7341,3
11-07-2017,154.91,2.148,-14.1762,37.9374,0.1845,-69.7341,3
10-07-2017,155.52,2.148,-14.1762,37.9374,0.1845,-69.7341,3
07-07-2017,156.27,2.148,-14.1762,37.9374,0.1845,-69.7341,3
06-07-2017,153.09,2.148,-14.1762,37.9374,0.1845,-69.7341,3
05-07-2017,153.07,2.148,-14.1762,37.9374,0.1845,-69.7341,3
03-07-2017,152.5,2.148,-14.1762,37.9374,0.1845,-69.7341,3
30-06-2017,153.16,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
29-06-2017,153.13,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
28-06-2017,154.3,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
27-06-2017,153.72,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
26-06-2017,153.96,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
23-06-2017,154.64,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
22-06-2017,154.8,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
21-06-2017,153.73,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
20-06-2017,154.07,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
19-06-2017,153.14,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
16-06-2017,151.99,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
15-06-2017,151.17,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
14-06-2017,150.68,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
13-06-2017,149.82,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
12-06-2017,148.47,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
09-06-2017,151.48,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
08-06-2017,151.43,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
07-06-2017,151.94,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
06-06-2017,151.23,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
05-06-2017,152.79,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
02-06-2017,153.74,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
01-06-2017,152.39,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
31-05-2017,150.89,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
30-05-2017,149.93,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
26-05-2017,149.86,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
25-05-2017,149.78,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
24-05-2017,149.5,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
23-05-2017,147.82,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
22-05-2017,148.19,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
19-05-2017,148.15,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
18-05-2017,147.01,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
17-05-2017,146.41,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
16-05-2017,147.29,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
15-05-2017,146.28,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
12-05-2017,145.36,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
11-05-2017,144.21,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
10-05-2017,144.52,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
09-05-2017,144.36,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
08-05-2017,144.24,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
05-05-2017,143.96,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
04-05-2017,143.45,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
03-05-2017,142.62,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
02-05-2017,141.23,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
01-05-2017,141.15,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
28-04-2017,139.93,1.8341,-13.3972,35.8357,0.1767,-59.8188,3
