date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment
03-11-2017,84.14,2.4773,1.1906,22.8589,0.0967,8.9966,3
02-11-2017,84.05,2.4773,1.1906,22.8589,0.0967,8.9966,3
01-11-2017,83.18,2.4773,1.1906,22.8589,0.0967,8.9966,3
31-10-2017,83.18,2.4773,1.1906,22.8589,0.0967,8.9966,3
30-10-2017,83.89,2.4773,1.1906,22.8589,0.0967,8.9966,3
27-10-2017,83.81,2.4773,1.1906,22.8589,0.0967,8.9966,4
26-10-2017,78.76,2.4773,1.1906,22.8589,0.0967,8.9966,3
25-10-2017,78.63,2.4773,1.1906,22.8589,0.0967,8.9966,4
24-10-2017,78.86,2.4773,1.1906,22.8589,0.0967,8.9966,3
23-10-2017,78.83,2.4773,1.1906,22.8589,0.0967,8.9966,3
20-10-2017,78.81,2.4773,1.1906,22.8589,0.0967,8.9966,3
19-10-2017,77.91,2.4773,1.1906,22.8589,0.0967,8.9966,3
18-10-2017,77.61,2.4773,1.1906,22.8589,0.0967,8.9966,3
17-10-2017,77.59,2.4773,1.1906,22.8589,0.0967,8.9966,4
16-10-2017,77.65,2.4773,1.1906,22.8589,0.0967,8.9966,3
13-10-2017,77.49,2.4773,1.1906,22.8589,0.0967,8.9966,4
12-10-2017,77.12,2.4773,1.1906,22.8589,0.0967,8.9966,4
11-10-2017,76.42,2.4773,1.1906,22.8589,0.0967,8.9966,3
10-10-2017,76.29,2.4773,1.1906,22.8589,0.0967,8.9966,2
09-10-2017,76.29,2.4773,1.1906,22.8589,0.0967,8.9966,2
06-10-2017,76,2.4773,1.1906,22.8589,0.0967,8.9966,4
05-10-2017,75.97,2.4773,1.1906,22.8589,0.0967,8.9966,4
04-10-2017,74.69,2.4773,1.1906,22.8589,0.0967,8.9966,3
03-10-2017,74.26,2.4773,1.1906,22.8589,0.0967,8.9966,3
02-10-2017,74.61,2.4773,1.1906,22.8589,0.0967,8.9966,3
29-09-2017,74.49,2.4773,1.1906,22.8589,0.0967,8.9966,3
28-09-2017,73.87,2.4773,1.1906,22.8589,0.0967,8.9966,3
27-09-2017,73.85,2.4773,1.1906,22.8589,0.0967,8.9966,4
26-09-2017,73.26,2.4773,1.1906,22.8589,0.0967,8.9966,3
