default,nw.ta,inc.na,cashp,pat.nw,contl.nw,fa.ta,inv.nw,nw.ce,debt.equity,current.r,debtr.turn,goods.turn,debt.ta
1,0.365523663,0.534916238,-18,-0.0024,0.0107,0.001897384,0.248734228,0.526518281,2.78,1.74,29.13,17.27,0.351344369
1,0.029066458,0.090446819,-18,-0.62036,2.17464,0.349247031,3.127943761,0.041868757,10.75,0.72,1.312,12.18,0.351344369
1,0.121571209,1.032791168,-18,-0.62036,1.244,0.349247031,0.747860016,0.175117155,10.75,0.31,15.33,190.48,0.351344369
1,0.113373948,0.123165071,-18,-0.4154,0.1149,0.694192051,0.010683214,0.128364729,6.79,0.43,8.76,28.24,0.698360894
1,0.075078012,0.17420901,-18,-0.448,1.9092,0.349247031,0.000291602,0.108146064,10.75,1,19.01,29.57,0.351344369
1,0.039888843,1.032791168,-18,-0.62036,1.7845,0.349247031,0.273508965,0.057457853,10.75,0.96,1.5,17.27,0.351344369
1,0.060240354,0.810316308,-18,-0.568,2.17464,0.623687675,0.978145139,0.154388545,5.48,0.48,13.17,9.06,0.319312696
1,0.047833988,1.012720558,-18,-0.62036,1.614,0.608007503,0.051164216,0.059145435,10.75,0.74,4.92,50.66,0.629022803
1,0.035271589,1.313226199,-18,-0.62036,1.2245,0.271252232,0.024944974,0.068988207,10.75,0.88,4.49,6.04,0.474135031
1,0.055714092,0.690039408,-18,-0.62036,2.17464,0.069846447,0.342682927,0.093298441,9.72,1.31,1.42,14.88,0.539747248
1,0.191111111,0.449393939,18.85,0.0792,0.2548,0.004242424,0.044133192,0.193456033,4.17,0.31,6.32,17.27,0.796767677
1,0.007944278,0.645248818,-18,-0.62036,2.17464,0.69741811,0.294014085,0.010766956,10.75,0.83,12.72,10.6,0.729894543
1,0.052210914,1.039848197,272.1,0.60716,0.163,0.432637571,0.65969163,0.129547724,6.72,0.31,1.65,22.59,0.350813639
1,0.085835996,0.418317359,-18,-0.62036,0.0533,0.769826056,0.069065343,0.111438842,7.97,0.6,4.26,7.07,0.684416045
1,0.007824584,0.392821399,-18,0.0792,0.1919,0.729142025,0.485465116,0.008707979,10.75,0.83,6.32,17.27,0.619051952
1,0.143748901,1.901969404,-15.4,-0.2099,0.1205,0.189555126,0.001529052,0.263369845,2.8,1.17,9.24,16.81,0.402057324
1,0.373135686,0.565251,-18,-0.4871,0.0262,0.528101128,0.010175481,0.461659634,1.17,0.99,5.58,2.192,0.435112768
1,0.218220117,0.110215674,-18,-0.3293,0.162,0.35151223,0.004009989,0.28862707,2.46,0.71,5.17,9.35,0.504548217
1,0.093664148,0.349330357,-18,-0.3394,1.0234,0.447716346,0.22456462,0.133243771,6.51,1.16,1.98,31.36,0.609289148
1,0.023396699,1.12325047,-11.6,-0.62036,1.0893,0.177146438,2.455357143,0.044444444,10.75,1.01,17.38,10.7,0.503029037
1,0.004376824,0.03522301,-18,-0.62036,0.0533,0.736140058,5.523809524,0.006618342,10.75,0.31,6.32,17.27,0.656940392
1,0.144882749,0.320214506,30.8,0.0235,0.0201,0.69987275,0.058343789,0.169286321,4.91,0.84,19.57,6.07,0.710961643
1,0.225897388,1.059011464,-18,-0.312,1.0283,0.507423417,0.005823627,0.872912128,0.15,0.6,9.6,8.23,0.032888555
1,0.034220917,0.821774493,-18,-0.62036,0.9862,0.267186393,3.937869822,0.05970325,10.75,0.66,3.18,10.95,0.538962573
1,0.545014245,0.579487179,2.9,-0.0921,1.7151,0.750712251,0.043648719,0.658746556,0.52,0.65,15.34,22.14,0.282336182
1,0.34916051,2.523304231,72,0.1286,0.0385,0.113767629,0.197537988,0.689339698,0.45,1.52,6.84,7.26,0.157353929
1,0.14114053,0.976782077,10.4,-0.0256,2.17464,0.257841141,0.721500722,0.277978339,2.6,0.82,2.71,57.73,0.366598778
1,0.003832397,0.001532959,-18,-0.62036,2.17464,0.206268097,1.066666667,0.005127037,10.75,0.54,6.32,69.34,0.701073071
1,0.036051213,0.025943396,-5.1,-0.62036,2.17464,0.580188679,5.626168224,0.044105523,10.75,0.44,1.312,9.78,0.781334232
1,0.284847469,0.086624204,-18,0.0792,0.0466,0.414884345,0.009826998,0.481743962,1.08,0.94,6.32,17.27,0.306436473
1,0.170664207,1.014391144,-18,-0.3327,0.0551,0.251291513,0.124324324,0.229870775,3.35,0.94,4.47,16.36,0.571771218
1,0.057987493,1.236937797,-18,-0.62036,0.7926,0.35709612,0.015445801,0.115864375,7.63,0.79,5.14,6.09,0.442489837
1,0.025773196,0.433357879,-18,0.0792,1.5071,0.605301915,0.596428571,0.035659705,10.75,0.75,6.32,17.27,0.696980854
1,0.152821814,0.851616994,17.2,-0.4633,0.00532,0.052631579,0.346473029,0.388083736,1.58,0.52,7.68,7.14,0.240963855
1,0.021609241,0.919737104,23.9,0.60716,0.0533,0.093108942,0.221198157,0.031272518,10.75,0.95,65.526,2.192,0.669388568
1,0.07826087,0.07826087,-0.1,-0.0588,0.0533,4.065217391,4.638888889,0.486486486,1.18,0.95,6.32,17.27,0.086956522
1,0.020272097,0.799035949,-18,-0.4996,2.17464,0.35877106,3.084444444,0.046315356,10.75,0.82,2.05,12.57,0.390395531
1,0.014953271,0.12834891,-18,-0.62036,0.6806,0.691381101,1.159722222,0.016326531,10.75,0.31,2.6,10.09,0.900934579
1,0.036066947,0.329068726,47.4,-0.0455,1.1493,0.056699892,0.026926798,0.03742954,10.75,0.87,15,10.73,0.559962316
1,0.179802115,1.103718867,35.2,0.3267,0.6584,0.35243944,0.158444023,0.227941176,3.39,1.33,6.51,9.96,0.527123849
1,0.198619391,0.695638532,-9,-0.3516,0.9021,0.433322874,0.003159558,0.313366337,2.19,0.83,1.82,84.21,0.435205522
1,0.097911227,0.272659455,-18,-0.62036,0.3105,0.430622902,0.019047619,0.160012191,5.25,0.59,1.312,9.22,0.513987318
1,0.329106946,2.197905182,34,0.2984,0.1365,0.041620728,0.396147404,0.433236575,1.31,1.03,16.08,17.22,0.430540243
1,0.629032258,0.290322581,0.1,0.0256,0.0533,15.08064516,2.141025641,1,0.79,5.766,1.312,17.27,16
1,0.170810811,0.006486486,-3.3,-0.1154,0.0127,0.797117117,0.126582278,0.222535211,3.49,0.31,6.32,5.2,0.596756757
1,0.055727554,13.77399381,18.85,0.0792,0.0533,2.894736842,4.638888889,0.055727554,10.75,1.23,6.32,17.27,0.984520124
1,0.107375979,0.394908616,-2.9,-0.62036,0.0152,0.53426893,0.253799392,0.122944694,7.13,0.89,8.46,4.53,0.765992167
1,0.118673272,0.751023045,1.8,-0.1412,0.0526,0.423648503,0.065335753,0.17414665,4.74,0.79,5.39,5.72,0.562782684
1,0.054298643,0.192630899,-7.2,-0.62036,1.5,0.773109244,0.994047619,0.058577406,10.75,2.22,10.46,17.27,0.641241112
