"date","close","volume","open","high","low"

"2017/11/03","232.2200","1582704.0000","231.5600","232.5800","230.9200"
"2017/11/02","232.2300","1609472.0000","230.2400","232.8000","229.5500"
"2017/11/01","230.1800","1389916.0000","231.0000","231.7600","229.1100"
"2017/10/31","230.1900","1908137.0000","231.3800","231.5975","229.8100"
"2017/10/30","231.0200","2722538.0000","233.6600","233.6600","230.6400"
"2017/10/27","234.7400","2000365.0000","234.2300","234.9500","232.5500"
"2017/10/26","232.9400","3381741.0000","238.2600","238.8000","232.3100"
"2017/10/25","237.6800","4114429.0000","235.0100","237.9400","233.9400"
"2017/10/24","234.6500","6489134.0000","229.0000","238.9000","228.9900"
"2017/10/23","221.5500","2160125.0000","221.7600","222.7800","221.2000"
"2017/10/20","221.3200","1647458.0000","219.9500","221.3200","219.1900"
"2017/10/19","219.2400","1368120.0000","218.4900","219.2500","217.4700"
"2017/10/18","218.2700","1413913.0000","217.5200","218.6400","217.3700"
"2017/10/17","217.7500","1907810.0000","218.4900","218.7200","216.4700"
"2017/10/16","218.7200","1184507.0000","217.7000","218.7300","217.2000"
"2017/10/13","217.7200","1461703.0000","218.8300","219.7600","216.8000"
"2017/10/12","217.5900","1939313.0000","216.6000","217.6400","216.2900"
"2017/10/11","216.5100","2046036.0000","216.7500","216.8600","214.6600"
"2017/10/10","216.7500","1171324.0000","217.3800","217.6000","216.5500"
"2017/10/09","216.6800","1054620.0000","215.9600","217.2100","215.6900"
"2017/10/06","216.5200","1650814.0000","216.0000","216.5400","215.2700"
"2017/10/05","216.3700","1740484.0000","216.4900","217.6100","215.9002"
"2017/10/04","216.5200","1636425.0000","214.8500","216.9400","214.5000"
"2017/10/03","214.5700","1634731.0000","212.6200","214.6000","211.3800"
"2017/10/02","212.7600","1291867.0000","210.7300","212.7900","210.0300"
"2017/09/29","209.9000","1625587.0000","209.0600","209.9000","208.7300"
"2017/09/28","209.5500","2061933.0000","208.3000","209.8800","208.2519"
"2017/09/27","209.4800","1845350.0000","211.0900","211.3800","208.1600"
"2017/09/26","211.0300","1186376.0000","211.2600","212.8300","210.9300"
"2017/09/25","210.7300","1609155.0000","210.9800","211.2200","209.3700"
"2017/09/22","210.7600","1492916.0000","209.6400","211.3000","209.2800"
"2017/09/21","210.4400","1344432.0000","210.9000","211.6200","210.2400"
"2017/09/20","210.5100","2987079.0000","211.7700","212.6000","208.3100"
"2017/09/19","213.5600","1429651.0000","214.2300","214.6500","212.8500"
"2017/09/18","213.7600","1270719.0000","214.0000","214.0380","212.5700"
"2017/09/15","213.3500","3626017.0000","212.5900","214.1150","210.6600"
"2017/09/14","211.4300","1983793.0000","209.1500","211.9100","208.7400"
"2017/09/13","209.4900","1129612.0000","209.1200","210.2900","208.5700"
"2017/09/12","209.6400","1442282.0000","209.9100","210.9600","209.2600"
"2017/09/11","209.5600","1806738.0000","206.4600","209.7750","206.0900"
"2017/09/08","205.6900","1473977.0000","204.3500","206.1200","203.1600"
"2017/09/07","204.4600","1701542.0000","201.4700","204.7100","201.4700"
