"date","close","volume","open","high","low"

"2017/11/03","96.4300","2089507.0000","96.2800","96.4300","95.7800"
"2017/11/02","95.9800","3013321.0000","96.0000","96.2400","95.3900"
"2017/11/01","95.7900","2319973.0000","96.2900","96.5650","95.4400"
"2017/10/31","95.5200","3146438.0000","94.9800","95.6100","94.5200"
"2017/10/30","95.0700","3093343.0000","95.7300","96.1200","94.8400"
"2017/10/27","95.7900","3212221.0000","95.4500","96.0150","95.0300"
"2017/10/26","95.6900","4136679.0000","93.9900","95.7300","93.9800"
"2017/10/25","93.5300","4265963.0000","94.0000","94.2400","93.2700"
"2017/10/24","93.8600","4450165.0000","92.6000","93.9300","92.3300"
"2017/10/23","92.3800","2963098.0000","92.2200","93.0900","92.2200"
"2017/10/20","92.0900","4422006.0000","92.8400","93.2850","91.9700"
"2017/10/19","91.9000","6511825.0000","90.4000","92.9500","90.0350"
"2017/10/18","92.0800","4675178.0000","91.8000","92.2700","91.6800"
"2017/10/17","91.6900","2938750.0000","91.9400","92.1000","91.5800"
"2017/10/16","91.9600","4292977.0000","93.0400","93.3500","90.8100"
"2017/10/13","92.8600","3220863.0000","91.5000","92.9200","91.2600"
"2017/10/12","91.6100","3317377.0000","91.6300","92.2300","91.4200"
"2017/10/11","91.9600","3045588.0000","91.8600","92.6500","91.8100"
"2017/10/10","91.8900","2247183.0000","91.8800","92.3400","91.7800"
"2017/10/09","91.6900","1649277.0000","91.5900","91.9600","91.5000"
"2017/10/06","91.5500","1850086.0000","91.2500","91.5850","91.0900"
"2017/10/05","91.1600","2990958.0000","90.9600","91.6150","90.7700"
"2017/10/04","91.0100","3024136.0000","91.6000","91.6100","90.9050"
"2017/10/03","91.4300","2907773.0000","90.5900","91.6400","90.5900"
"2017/10/02","90.5400","4465641.0000","90.4400","91.1700","90.1000"
"2017/09/29","90.4600","2982216.0000","90.0400","90.7700","89.9300"
"2017/09/28","90.1400","2433125.0000","89.2300","90.3100","89.2300"
"2017/09/27","89.4900","2873306.0000","89.6800","89.7400","89.0300"
"2017/09/26","88.6900","2197275.0000","88.4700","88.7700","88.2000"
"2017/09/25","88.2100","2863068.0000","88.2800","88.6350","87.8400"
"2017/09/22","88.4000","2770085.0000","88.3000","88.7100","88.1000"
"2017/09/21","88.4200","2873308.0000","88.4500","88.8000","88.0400"
"2017/09/20","88.4300","4251024.0000","89.2500","89.3787","88.2701"
"2017/09/19","89.0000","4042643.0000","87.9700","89.2300","87.8800"
"2017/09/18","87.8700","3395068.0000","87.0800","87.8700","86.9500"
"2017/09/15","86.9900","7789989.0000","86.5200","86.9900","86.0700"
"2017/09/14","86.1900","2764914.0000","86.5400","86.8000","86.1600"
"2017/09/13","86.6400","2396472.0000","86.4200","86.7700","86.3900"
"2017/09/12","86.5500","3334383.0000","85.9700","86.6000","85.8101"
"2017/09/11","85.6900","3397496.0000","84.9700","86.1200","84.9700"
"2017/09/08","84.2500","3462112.0000","84.1800","85.0050","84.0200"
"2017/09/07","84.4100","2905336.0000","85.2700","85.5200","84.0800"
"2017/09/06","85.2300","2823281.0000","85.5700","85.8400","85.0000"
"2017/09/05","85.3100","3328200.0000","85.7200","85.9100","84.6800"
"2017/09/01","86.1400","2262735.0000","86.3100","86.5350","86.0500"
"2017/08/31","86.1000","3768019.0000","86.0000","86.2800","85.7000"
"2017/08/30","85.6900","2131513.0000","85.3800","85.7400","85.2200"
"2017/08/29","85.4200","2779385.0000","84.7500","85.5050","84.4000"
"2017/08/28","85.4100","2105519.0000","85.6600","85.6900","85.2100"
"2017/08/25","85.4700","2297055.0000","85.5000","85.9600","85.4200"
"2017/08/24","85.3600","2057905.0000","85.4900","85.5300","85.0400"
"2017/08/23","85.2800","1959880.0000","84.7100","85.5100","84.7000"
"2017/08/22","85.3000","2155195.0000","85.4700","85.7300","84.9100"
"2017/08/21","85.3000","2361987.0000","85.4500","85.6400","84.9500"
"2017/08/18","85.3800","4165069.0000","85.9900","86.1300","85.2050"
"2017/08/17","86.0900","3815399.0000","87.3400","87.6300","86.0500"
"2017/08/16","87.3900","3379219.0000","87.0000","87.7800","86.9900"
"2017/08/15","86.7900","3774136.0000","85.9900","86.9650","85.8800"
"2017/08/14","85.4700","2893607.0000","84.7400","85.6700","84.7200"
"2017/08/11","84.2900","3078650.0000","84.7600","84.8600","83.9700"
"2017/08/10","84.5600","3734443.0000","85.4400","85.5800","84.5450"
"2017/08/09","85.6900","2960996.0000","85.7400","85.9707","85.2400"
"2017/08/08","85.9400","2918116.0000","85.4300","86.6650","85.4100"
"2017/08/07","85.8500","2089149.0000","86.1000","86.1875","85.6800"
"2017/08/04","85.9700","2840245.0000","85.9900","86.3300","85.8400"
"2017/08/03","85.5400","2381322.0000","85.2400","85.8790","85.1400"
"2017/08/02","85.3000","3247792.0000","85.1500","85.3599","84.9678"
"2017/08/01","85.2400","3119788.0000","85.7200","85.8363","85.1400"
"2017/07/31","85.2300","3074297.0000","85.1700","85.7000","84.8400"
"2017/07/28","84.8000","3102574.0000","83.8800","85.1000","83.6200"
"2017/07/27","83.8500","6119159.0000","85.1800","85.2000","83.3300"
"2017/07/26","85.3000","3038102.0000","85.4100","85.7200","85.1700"
"2017/07/25","85.4100","3255176.0000","85.8400","86.1000","85.0800"
"2017/07/24","85.0000","5389020.0000","85.4500","85.6700","83.8600"
"2017/07/21","85.5900","3570370.0000","85.7900","86.2800","85.4300"
"2017/07/20","85.3500","5354248.0000","84.9400","85.4500","84.5300"
"2017/07/19","85.9300","5522783.0000","85.7600","85.9800","85.3000"
"2017/07/18","85.5200","2814988.0000","84.9600","85.5600","84.7600"
"2017/07/17","85.2200","2140461.0000","85.1300","85.5200","84.7800"
"2017/07/14","85.2800","3354705.0000","84.8500","85.5600","84.5900"
"2017/07/13","85.3700","3309155.0000","84.9300","85.4300","84.7400"
"2017/07/12","84.8200","4628941.0000","84.2800","84.9800","84.0550"
"2017/07/11","84.1600","2733159.0000","84.2300","84.3050","83.5400"
"2017/07/10","84.3000","2147047.0000","84.1300","84.5700","83.9700"
"2017/07/07","84.3300","2387796.0000","83.9300","84.6850","83.7700"
"2017/07/06","83.7400","3213448.0000","84.6700","84.8400","83.7200"
"2017/07/05","84.8900","3494561.0000","85.2200","85.8800","84.8100"
"2017/07/03","85.1000","2306874.0000","84.6900","85.7350","84.6900"
"2017/06/30","84.2400","3320815.0000","84.0900","84.6400","83.5900"
"2017/06/29","83.6300","5092300.0000","84.9200","85.3900","83.1559"
"2017/06/28","83.9700","3663922.0000","83.5100","84.2650","83.4000"
"2017/06/27","83.0800","2994829.0000","83.0600","83.5200","83.0100"
"2017/06/26","82.9600","2491613.0000","82.4990","83.2850","82.4400"
"2017/06/23","82.2200","3785322.0000","82.3900","82.7000","82.0600"
"2017/06/22","82.2500","2311970.0000","82.1100","82.6250","82.0600"
"2017/06/21","82.2100","2683412.0000","82.6000","82.8000","81.9900"
"2017/06/20","82.5100","3929088.0000","81.9800","82.8100","81.8000"
"2017/06/19","81.8800","2983774.0000","81.5600","81.9400","81.2900"
"2017/06/16","81.4500","5914676.0000","80.8600","81.4800","80.7700"
"2017/06/15","80.7000","2773369.0000","80.3800","81.2400","80.2300"
"2017/06/14","80.8400","4007171.0000","80.1100","80.9200","79.6200"
"2017/06/13","80.5900","3173961.0000","80.2000","80.7400","80.0700"
"2017/06/12","80.1700","3335036.0000","80.3500","80.7300","79.9500"
"2017/06/09","80.3100","3844479.0000","80.3900","80.7300","79.7300"
"2017/06/08","79.9500","4068089.0000","79.7100","80.2020","79.6695"
