"date","close","volume","open","high","low"

"2017/11/03","261.7500","2610731.0000","262.4200","263.7900","260.0800"
"2017/11/02","262.6300","2528412.0000","258.3100","263.2400","258.0000"
"2017/11/01","258.5000","2922459.0000","258.2900","259.4100","256.2400"
"2017/10/31","257.9800","2717950.0000","259.3400","259.9300","257.4700"
"2017/10/30","259.2500","3025786.0000","255.4500","260.4100","255.3300"
"2017/10/27","256.4600","2895977.0000","258.2600","259.4994","255.8000"
"2017/10/26","259.2700","3418484.0000","259.7200","261.4400","257.3100"
"2017/10/25","258.4200","7889109.0000","264.7800","266.0000","254.5000"
"2017/10/24","266.0000","4383105.0000","263.2400","267.2100","263.2400"
"2017/10/23","262.3200","3301542.0000","265.1300","265.9800","262.1400"
"2017/10/20","264.7500","3953877.0000","260.3600","264.8272","259.4400"
"2017/10/19","259.0400","2588847.0000","258.9800","259.1000","256.0300"
"2017/10/18","260.0400","2051401.0000","258.4700","260.7300","256.6600"
"2017/10/17","258.6200","2515783.0000","256.4900","259.0500","256.2600"
"2017/10/16","259.7500","1805051.0000","261.5000","262.0000","259.6900"
"2017/10/13","260.7400","2243790.0000","262.9000","263.7900","260.7400"
"2017/10/12","261.9100","2605662.0000","260.9500","262.9800","260.0000"
"2017/10/11","261.4400","2890149.0000","261.3200","261.6500","259.0200"
"2017/10/10","260.9300","2739318.0000","259.7400","261.0600","257.2000"
"2017/10/09","258.3900","2146525.0000","259.0000","259.0000","257.1100"
"2017/10/06","258.5800","2639170.0000","258.0000","258.9018","257.0600"
"2017/10/05","258.8900","3938280.0000","255.2800","258.9900","254.7800"
"2017/10/04","255.7600","3030643.0000","256.1200","257.1300","254.0700"
"2017/10/03","255.4600","3163337.0000","255.9900","258.2600","254.6900"
"2017/10/02","255.9900","2684720.0000","254.6500","255.9900","253.5301"
"2017/09/29","254.2100","2509426.0000","253.8500","255.2600","252.5910"
"2017/09/28","254.2700","2585423.0000","254.1100","255.8000","251.1700"
"2017/09/27","255.2800","3817234.0000","255.2700","258.7700","253.9710"
"2017/09/26","253.7000","2172891.0000","254.6000","256.4800","253.5400"
"2017/09/25","254.3200","3478883.0000","256.9700","256.9700","251.5000"
"2017/09/22","256.4500","3473959.0000","256.3100","259.3000","256.1300"
"2017/09/21","256.0400","2784736.0000","256.1300","256.9900","254.4239"
"2017/09/20","255.4600","3758746.0000","253.2600","256.6924","252.2500"
"2017/09/19","252.4600","4123590.0000","253.0800","255.1700","251.6310"
"2017/09/18","253.0800","5192263.0000","249.9700","253.7875","248.9100"
"2017/09/15","249.0000","9025568.0000","247.3600","249.9500","246.2100"
"2017/09/14","245.2300","4987953.0000","243.0000","245.6100","242.5000"
"2017/09/13","241.9300","4528175.0000","240.0000","243.4800","237.0900"
"2017/09/12","240.5800","2703193.0000","240.5900","241.7074","238.9500"
"2017/09/11","240.5900","3628098.0000","239.5000","241.8500","239.3100"
"2017/09/08","238.7800","3380919.0000","235.7500","239.3900","235.2100"
"2017/09/07","236.3100","2994236.0000","234.7500","236.5400","234.2900"
"2017/09/06","234.6200","4251746.0000","237.5300","237.8564","234.3400"
"2017/09/05","237.0000","3867605.0000","240.3000","240.3600","236.2300"
"2017/09/01","240.3300","3270755.0000","239.6600","242.5300","239.1700"
"2017/08/31","239.6600","3075505.0000","241.0000","241.1000","238.4100"
"2017/08/30","240.4600","2800495.0000","240.9900","241.4400","239.0000"
"2017/08/29","240.4900","3535453.0000","237.2100","241.1700","236.0800"
"2017/08/28","237.1800","2392980.0000","236.2200","237.5547","234.6110"
"2017/08/25","235.8900","2269830.0000","239.0000","239.0900","235.6000"
