"date","close","volume","open","high","low"

"2017/11/03","151.5800","4430810.0000","153.4200","153.4700","151.4900"
"2017/11/02","153.3500","3396982.0000","154.1800","154.4900","152.9100"
"2017/11/01","154.0300","3236863.0000","154.1000","154.9000","153.8300"
"2017/10/31","154.0600","4260973.0000","154.3300","154.9300","152.9300"
"2017/10/30","154.3600","4210002.0000","153.7600","154.5900","152.7100"
"2017/10/27","153.6800","4895137.0000","154.5400","154.6300","152.9110"
"2017/10/26","153.6000","4297634.0000","154.3100","155.1200","153.5400"
"2017/10/25","153.5000","6917768.0000","156.0100","156.3700","153.0600"
"2017/10/24","155.8800","8175300.0000","159.6500","159.7000","155.1710"
"2017/10/23","159.5500","5778231.0000","162.0500","162.5100","159.5400"
"2017/10/20","162.0700","7866470.0000","161.0700","162.4800","159.7700"
"2017/10/19","160.9000","9910695.0000","159.8000","160.9600","159.0850"
"2017/10/18","159.5300","30473410.0000","157.1200","161.2300","156.9500"
"2017/10/17","146.5400","6178625.0000","146.6300","147.1200","146.1800"
"2017/10/16","146.8300","3041919.0000","147.2200","147.6700","146.5100"
"2017/10/13","147.1000","2505942.0000","147.4800","147.8500","146.9400"
"2017/10/12","147.0300","3304653.0000","147.5600","147.8900","146.7700"
"2017/10/11","147.6200","3701258.0000","148.4000","148.4700","147.2800"
"2017/10/10","148.5000","4029617.0000","147.7100","148.9500","147.6500"
"2017/10/09","147.3900","2682506.0000","146.5000","147.7900","146.3500"
"2017/10/06","146.4800","2620902.0000","146.6400","146.8500","146.3200"
"2017/10/05","146.7200","2686485.0000","146.6800","147.5400","146.4800"
"2017/10/04","146.4800","2243214.0000","147.0000","147.0200","146.1100"
"2017/10/03","146.7800","2302599.0000","146.6900","147.1999","146.3400"
"2017/10/02","146.6600","2973073.0000","145.3500","146.8650","145.2100"
"2017/09/29","145.0800","2644598.0000","145.4500","145.6900","144.9200"
"2017/09/28","145.6600","2774541.0000","145.3300","145.8600","144.2100"
"2017/09/27","145.6600","3496366.0000","146.6800","146.9000","145.0300"
"2017/09/26","146.5600","4107436.0000","146.3600","147.4200","145.9400"
"2017/09/25","145.8700","5210283.0000","145.1200","146.0300","144.9100"
"2017/09/22","145.1300","2792199.0000","145.5900","145.5900","144.5900"
"2017/09/21","145.2600","2520055.0000","145.6500","145.8911","145.1000"
"2017/09/20","145.8800","5446399.0000","144.9300","145.8800","144.4200"
"2017/09/19","144.3900","3464383.0000","144.7900","144.9800","144.2200"
"2017/09/18","144.5500","3019313.0000","144.8100","145.4799","144.2700"
"2017/09/15","144.8200","7373777.0000","144.8200","145.1700","144.0800"
"2017/09/14","145.5400","3754007.0000","145.8600","146.3800","145.5100"
"2017/09/13","145.9900","4098201.0000","145.3500","146.2900","145.3400"
"2017/09/12","145.7600","5239033.0000","145.1100","146.3700","144.5100"
"2017/09/11","144.8600","4611086.0000","143.5400","145.1300","143.0100"
"2017/09/08","142.4500","3362498.0000","143.1500","143.1500","141.6400"
"2017/09/07","142.9000","4188154.0000","144.1000","144.6400","142.4100"
