"date","close","volume","open","high","low"

"2017/11/03","140.0800","2736651.0000","139.7300","140.4000","139.3000"
"2017/11/02","139.9300","3493520.0000","140.1100","140.2900","139.1100"
"2017/11/01","139.9800","5006301.0000","139.8300","140.5900","139.3400"
"2017/10/31","139.4100","4825995.0000","140.0200","140.2600","138.9800"
"2017/10/30","140.0000","6034336.0000","141.0800","141.2100","139.3200"
"2017/10/27","141.7800","5140589.0000","141.0000","142.7000","140.2000"
"2017/10/26","141.8100","5839327.0000","142.5100","143.7500","141.3800"
"2017/10/25","142.3600","6563480.0000","141.1600","143.2300","140.9594"
"2017/10/24","141.6400","6533349.0000","143.3800","143.3800","140.9300"
"2017/10/23","143.6200","6685083.0000","142.1300","144.3523","142.0810"
"2017/10/20","142.4000","5634523.0000","142.3800","143.6200","141.8300"
"2017/10/19","142.0400","9180957.0000","140.7100","142.9800","140.5350"
"2017/10/18","140.6800","6823119.0000","140.7900","141.5800","140.0700"
"2017/10/17","140.7900","11597750.0000","137.6700","141.1200","137.0600"
"2017/10/16","136.1200","5119364.0000","136.4500","137.2600","135.5400"
"2017/10/13","136.4300","4106431.0000","136.6000","137.4200","136.3400"
"2017/10/12","136.8300","5311047.0000","136.3400","137.5200","136.0200"
"2017/10/11","136.6500","8268128.0000","134.8800","137.0800","134.3700"
"2017/10/10","133.9000","4184558.0000","133.5600","134.1300","132.9200"
"2017/10/09","133.4500","3750978.0000","133.6600","133.8150","133.1700"
"2017/10/06","133.2200","2469471.0000","133.0000","133.2500","132.4800"
"2017/10/05","133.1900","3740875.0000","132.8900","133.3100","132.3600"
"2017/10/04","132.8900","3586327.0000","132.4000","133.1800","132.1000"
"2017/10/03","132.1000","3900754.0000","131.6500","132.4000","131.3600"
"2017/10/02","131.2200","4483751.0000","130.1600","131.3300","130.0200"
"2017/09/29","130.0100","5700701.0000","129.5800","130.4700","129.0500"
"2017/09/28","129.4700","3992032.0000","129.9100","130.2700","129.2900"
"2017/09/27","129.7500","5781672.0000","131.0000","131.0900","129.4300"
"2017/09/26","130.9400","3692728.0000","131.5000","131.9400","130.8200"
"2017/09/25","131.1700","6017418.0000","131.4700","131.7600","130.8300"
"2017/09/22","131.3900","4332430.0000","131.9900","132.3900","131.2701"
