"date","close","volume","open","high","low"

"2017/11/03","86.5800","5106353.0000","86.7800","87.1600","86.4600"
"2017/11/02","86.5100","5021150.0000","86.7800","87.0400","86.2300"
"2017/11/01","86.8900","4870309.0000","86.3300","87.1400","86.1100"
"2017/10/31","86.3400","7118956.0000","86.4900","86.5000","85.7200"
"2017/10/30","86.2700","5386886.0000","86.9100","87.0800","86.1600"
"2017/10/27","87.0400","7430379.0000","87.5300","87.5300","86.4500"
"2017/10/26","87.5000","6228391.0000","87.1900","87.7700","87.1000"
"2017/10/25","86.8600","9024151.0000","86.9000","87.1100","86.2800"
"2017/10/24","86.9800","11467260.0000","87.3700","87.4200","86.7800"
"2017/10/23","87.3000","13356670.0000","88.6300","88.8600","86.8700"
"2017/10/20","88.2500","19875630.0000","89.7200","89.9600","87.5900"
"2017/10/19","91.5900","8476588.0000","91.7000","91.9900","91.1400"
"2017/10/18","92.7700","7399634.0000","92.7800","92.9500","92.0100"
"2017/10/17","92.8000","5315844.0000","93.0400","93.0900","92.4000"
"2017/10/16","93.1400","4154501.0000","92.9700","93.3700","92.7100"
"2017/10/13","93.0400","6955993.0000","92.7000","93.5100","92.5900"
"2017/10/12","92.1500","6058667.0000","91.4100","92.3050","91.3900"
"2017/10/11","91.4600","7115090.0000","91.0900","91.7300","91.0700"
"2017/10/10","91.6200","17119760.0000","92.3700","93.0400","89.8600"
"2017/10/09","92.1200","5148962.0000","92.4000","92.6200","91.9300"
"2017/10/06","92.3300","5241802.0000","92.0000","92.3500","91.8800"
"2017/10/05","92.0300","6908199.0000","92.4900","92.6500","91.9400"
"2017/10/04","92.4200","6136689.0000","92.1200","92.7950","92.0200"
"2017/10/03","92.1200","5909908.0000","91.9600","92.3400","91.5600"
"2017/10/02","91.7700","7298923.0000","91.2600","92.4000","91.2400"
"2017/09/29","90.9800","6601499.0000","90.9700","91.4300","90.7000"
"2017/09/28","90.8900","4997256.0000","90.8600","91.1180","90.6300"
"2017/09/27","90.8700","9539402.0000","92.5200","92.5200","90.3400"
"2017/09/26","92.6500","4814262.0000","92.8200","92.8450","92.2000"
