m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,form_7_type,curr_ratio,non_perform_asset_tot_loan,loan_loss_reserve,lterm_debt_cap,tot_debt_tot_equity,gross_margin,oper_profit_margin,ebit_margin,ebitda_margin,pretax_profit_margin,profit_margin,free_cash_flow,loss_ratio,exp_ratio,comb_ratio,asset_turn,invty_turn,rcv_turn,day_sale_rcv,ret_equity,ret_tang_equity,ret_asset,ret_invst,free_cash_flow_per_share,book_val_per_share,oper_cash_flow_per_share
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2011,A,,2011,4,2011,4,7,2.4931,,,0.6733,3.2257,53.4072,28.267,28.267,34.399,13.7565,8.9531,26589,,,,0.204,4.9506,0.4759,767.045,12.2014,43.1028,2.007,3.9863,2.5037,11.1732,3.1411
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2012,A,,2012,4,2012,4,7,2.9431,,,0.6476,2.6269,49.3401,24.8677,24.8677,31.1343,11.8493,9.2996,22396,,,,0.2141,4.8335,0.5147,709.1875,11.5568,34.2286,2.1674,4.0726,2.12,12.346,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2011,A,,2011,4,2011,4,7,2.4931,,,0.6733,3.2257,53.4072,28.267,28.267,34.399,13.7565,8.9531,26589,,,,0.204,4.9506,0.4759,767.045,12.2014,43.1028,2.007,3.9863,2.5037,11.1732,3.1411
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2012,A,,2012,4,2012,4,7,2.9431,,,0.6476,2.6269,49.3401,24.8677,24.8677,31.1343,11.8493,9.2996,22396,,,,0.2141,4.8335,0.5147,709.1875,11.5568,34.2286,2.1674,4.0726,2.12,12.3462,2.9658
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2013,A,,2013,4,2013,4,7,3.4309,,,0.6184,2.19,29.4971,12.9198,12.9198,17.5134,8.0357,11.5299,24472,,,,0.1725,4.6084,0.4157,878.1079,5.7617,17.5817,1.2003,2.1986,2.3785,13.5955,2.7709
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2014,A,,2014,4,2014,4,7,1.488,,,0.5769,1.8784,28.5705,13.2416,13.2416,17.4683,8.758,12.9992,23498,,,,0.1789,4.732,2.7288,133.7571,6.9355,13.4717,1.449,2.9342,2.3212,13.6052,2.7372
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2015,A,,2015,4,2015,4,7,1.6257,,,0.5909,1.9425,29.5546,12.1429,12.1429,16.272,6.9736,-5.2349,15602,,,,0.2381,3.6728,2.5599,142.5846,1.6978,10.11,0.3448,0.6945,1.5577,10.6765,1.9859
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2016,A,,2016,4,2016,4,7,1.9252,,,0.5756,1.7524,29.2741,13.6233,13.6233,17.6631,7.3003,6.6099,-3019,,,,0.3387,3.9135,2.9268,124.709,12.2529,-101.183,2.5998,5.2002,-0.3307,8.8636,-0.0267
GE,GE,GENL ELECTRIC,General Electric Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.9658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
