Tweet,created
"I have to say, Apple has by far the best customer care service I have ever received! @Apple @AppStore",17-10-2017
iOS 7 is so fricking smooth & beautiful!! #ThanxApple @Apple,28-10-2017
LOVE U @APPLE,26-10-2017
"Thank you @apple, loving my new iPhone 5S!!!!!  #apple #iphone5S pic.twitter.com/XmHJCU4pcb",29-10-2017
.@apple has the best customer service. In and out with a new phone in under 10min!,30-10-2017
@apple ear pods are AMAZING! Best sound from in-ear headphones I've ever had!,23-10-2017
Omg the iPhone 5S is so cool it can read your finger print to unlock your iPhone 5S and to make purchases without a passcode #Apple @Apple,29-10-2017
the iPhone 5c is so beautiful <3 @Apple,29-10-2017
#AttributeOwnership is exactly why @apple will always be #one! #apple #marketing #marketer #business #innovation #fb,24-10-2017
Just checked out the specs on the new iOS 7...wow is all I have to say! I can't wait to get the new update ?? Bravo @Apple,28-10-2017
I love the new iOS so much!!!!! Thnx @apple @phillydvibing,21-10-2017
Can't wait to get my #Iphone5S!!! @apple,20-10-2017
@V2vista Fingerprint scanner: The killer feature of iPhone 5S. This is so bloody brilliant. @apple @timesnow http://toi.in/W0o-3Z,26-10-2017
Interesting  how so  many people seem to be almost willing the demise of @Apple. What's going on? Still by far my favorite #brand. Fantastic,26-10-2017
I LOVE @BNBuzz @NOOKstudy @nookBN and @apple made my life so much easier this morning !,19-10-2017
"Just watched the keynote of @apple latest iPhones. I just love the #iPhone5S and #iphone5c ??? I guess, i have a christmas gift already????",25-10-2017
My iPhone wasn't calling correctly so I went to an @apple store (first time) told them and they gave me a brand new phone. #wow,17-10-2017
Great job @apple on providing best users experience #thinkauto,30-10-2017
Swapped my #galaxys2 for an #iPhone4S. After one day I'd say I'm an @apple convert!,17-10-2017
Can't wait for my #orange phone upgrade in November :-) #apple iPhone 5s here I come ;-) @OrangeHelpers @apple,24-10-2017
#colored #iphone! The new 5C iphone comes in colors. I love this!! Can't wait till i can get one! #apple @apple #iphone5c,26-10-2017
