id,created_at,text
923400829306068993,2017-10-26 04:08:08,"b'Former Director of National Intelligence James Clapper on dossier: ""Doesn\'t matter who paid for it""\xe2\x80\xa6 https://t.co/xML3FwPeei'"
923399052548624385,2017-10-26 04:01:04,b'Queen Elizabeth II has won over $8.8 million from horse racing prize money in the past three decades\xe2\x80\xa6 https://t.co/Yoej9651vM'
923398034268020736,2017-10-26 03:57:01,"b'Journalist Mark Halperin sexually harassed women while at ABC News, five women tell CNN  https://t.co/QSCGw1PwVE https://t.co/FbNN7PXVaf'"
923391520148992000,2017-10-26 03:31:08,"b""Former VP Joe Biden says he hasn't decided if he's running for president in 2020, but he's leaving the door open\xe2\x80\xa6 https://t.co/E9okHWp5TK"""
923387735666196480,2017-10-26 03:16:06,b'San Juan mayor says contract awarded to small firm to help restore power in parts of Puerto Rico should be canceled\xe2\x80\xa6 https://t.co/LoP9HSJHvj'
923383966320746497,2017-10-26 03:01:07,"b'51% of Republicans support marijuana legalization, a new Gallup poll finds -- up 9 points from a poll last year\xe2\x80\xa6 https://t.co/aqHG1q15Xc'"
923382620662136832,2017-10-26 02:55:47,"b""How three GOP senators will affect President Trump's legislative legacy https://t.co/iXRfRwWLrI https://t.co/LMhOWLMP6f"""
923381311460519936,2017-10-26 02:50:34,"b""RT @CNNTonight: Major questions still unanswered about the deadly ambush in Niger https://t.co/aGCDgotYtQ \nCNN's @jimsciutto has the latest\xe2\x80\xa6"""
923379994566340608,2017-10-26 02:45:20,b'Do you know the origins of Islam in America? @lisaling learns how it reshaped the lives of so many people on\xe2\x80\xa6 https://t.co/skSI1xSIeJ'
923379771848794112,2017-10-26 02:44:27,"b'Sen. Bob Menendez\'s staffer who prepares financial disclosure forms ""scanned"" the instructions\xe2\x80\xa6 https://t.co/fzn88sxmBb'"
923378074095374336,2017-10-26 02:37:43,b'President Trump will release classified government documents about the assassination of John F. Kennedy on Thursday\xe2\x80\xa6 https://t.co/JaWUBL5vIC'
923375748102148096,2017-10-26 02:28:28,"b'Jury finds pharmacist not guilty of murder in deaths amid a meningitis outbreak, but convicts him of other charges https://t.co/7jWqkNU1aK'"
