id,created_at,text
931208470258442242,2017-11-16 17:12:54,"b'Surprise! Anthony Gonzalez, the voice of Miguel in #PixarCoco, delighted the crowd at Downtown Disney with a live p\xe2\x80\xa6 https://t.co/1WKuTqm3DA'"
931020613489184768,2017-11-16 04:46:26,b'Join #PixarCoco artist Ana Ramirez on Disney Facebook tomorrow at 10:30 a.m. PT to learn how to draw Dante!\xe2\x80\xa6 https://t.co/tgjPYwHzdT'
930937697937641472,2017-11-15 23:16:57,b'.@DisneyPixar Director of Photography and Lighting Danielle Feinberg opens your eyes to the creation of the bright\xe2\x80\xa6 https://t.co/r5jlvVuP0I'
930878455943610368,2017-11-15 19:21:33,b'RT @pixarcoco: Don\xe2\x80\x99t fight the urge; dance your way to theatres to see #PixarCoco in ONE WEEK! Get your tickets now: https://t.co/fvtPsGhyb\xe2\x80\xa6'
930863635651588097,2017-11-15 18:22:40,"b""Which sparkling gown from @Paolo_Sebastian's Disney princess couture collection is the fairest one of all? \xf0\x9f\x91\x97 https://t.co/rEKPTcCPx6"""
930858949162672128,2017-11-15 18:04:02,b'Ring the Yule bell! \xf0\x9f\x94\x94 A new clip from #OlafsFrozenAdventure is here! The featurette debuts in front of #PixarCoco o\xe2\x80\xa6 https://t.co/KRteDy689Q'
930843112703795201,2017-11-15 17:01:06,b'Sugar rush! This new clip from #OlafsFrozenAdventure sure is sweet. See the featurette in front of #PixarCoco on No\xe2\x80\xa6 https://t.co/r765wtcvDe'
930766591599443969,2017-11-15 11:57:02,"b""Oh, boy! Mickey Mouse is hanging out with @GMA for his birthday! Be sure to follow him on Instagram to see what he'\xe2\x80\xa6 https://t.co/HqJWETrXmF"""
930663912399351809,2017-11-15 05:09:02,b'Beauty and the Beast Premiered Aboard @DisneyCruise Line: https://t.co/elavmajVcL https://t.co/Kc06iixCBk'
930636923718078465,2017-11-15 03:21:47,b'RT @starwars: The Force is strong with @HamillHimself he surprised guests on Star Tours @Disneyland. #TheLastJedi https://t.co/0uG9qVFAqu'
930596860380827648,2017-11-15 00:42:35,b'The New @Disneyland After Dark Series Is Throwing It Back for Its First Event: https://t.co/YYfI84ux2E \xf0\x9f\x8e\x86 https://t.co/ow4xaJOeZL'
930557667482861568,2017-11-14 22:06:51,b'RT @Marvel: .@LEGOMarvelGame fans! Join your favorite Super Heroes and begin the battle for all of time against Kang the Conqueror. Availab\xe2\x80\xa6'
930548846471430145,2017-11-14 21:31:48,b'RT @DisneyParks: VIDEO: Jessie &amp; Rex became the first \xe2\x80\x9cToy Story\xe2\x80\x9d characters to be installed in #ToyStoryLand at Disney\xe2\x80\x99s Hollywood Studios\xe2\x80\xa6'
930529714359369734,2017-11-14 20:15:46,"b""Look at this stuff, isn't it neat? Go down under with @DisneyStyle and get a behind-the-scenes look at\xe2\x80\xa6 https://t.co/wpZ4w0Dwb1"""
930481733279141890,2017-11-14 17:05:07,"b""High five! @disneyanimation's Brian Kesinger, Head of Story on #OlafsFrozenAdventure, is drawing Olaf and Sven on F\xe2\x80\xa6 https://t.co/YAb4WUFrR9"""
930294491797475328,2017-11-14 04:41:05,"b""Watch @disneyanimation's Brian Kesinger, Head of Story on #OlafsFrozenAdventure, draw Olaf and Sven tomorrow at 9:1\xe2\x80\xa6 https://t.co/BnRuKxJewF"""
930187519823630337,2017-11-13 21:36:01,b'Feast Your Eyes on These Fantastical Gingerbread Displays at \n@WaltDisneyWorld Resort: https://t.co/LT9NktF9RN https://t.co/6Wyek7xSBP'
930140067225419776,2017-11-13 18:27:27,b'Rey goes where no scavenger has gone before in this episode of @StarWars\xe2\x80\x8b #ForcesOfDestiny. https://t.co/qzByj8JlD8'
929864391583064071,2017-11-13 00:12:01,b'Quiz: Pick a Tsum Tsum Pet Toy and @OhMyDisney Will Show You an Adorable Disney Pet Photo: https://t.co/Zbk9Z32kmH\xe2\x80\xa6 https://t.co/hekP7aXqvA'
929759715613073408,2017-11-12 17:16:04,b'Every journey leads somewhere! Watch a new clip from #PixarCoco and catch the movies in theatres November 22! \xe2\x9c\xa8 https://t.co/GjeRpEGpVH'
929728752480915456,2017-11-12 15:13:02,b'For Asgard! #ThorRagnarok is in theaters now! https://t.co/vmpi5HEo1W'
929715421376217089,2017-11-12 14:20:04,"b'Oh hi, Ohio! There\xe2\x80\x99s no stopping Mickey on his #HappyBirthdayMickey adventures! https://t.co/MMnI74hVrD'"
929575248919388161,2017-11-12 05:03:04,"b'""It\'s the only way to become what you are meant to be."" https://t.co/1HZdx20U6X'"
929532459997216768,2017-11-12 02:13:02,b'Let the filmmakers of #PixarCoco take you on a colorful journey through the rich history that inspired the film! \xe2\x9c\xa8 https://t.co/aB1WLdnCdJ'
929485207174107137,2017-11-11 23:05:17,b'Tale as old as time... https://t.co/dh6AtPyhGr'
929394966400552962,2017-11-11 17:06:41,b'Warm hugs are coming to a sky near you! Get all the fun facts about the #MacysThanksgivingDayParade Olaf balloon! \xe2\x9d\x84\xef\xb8\x8f https://t.co/JEih22hhF5'
929381963131101184,2017-11-11 16:15:01,b'Miguel\xe2\x80\x99s not like the rest of his family! Check out this new clip from #PixarCoco before seeing the film November 2\xe2\x80\xa6 https://t.co/xVdAodCJRB'
929364596334448641,2017-11-11 15:06:01,b'Alert the squad! #ThorRagnarok is in theaters now. https://t.co/ZTm7L7bJYq'
929352284932153345,2017-11-11 14:17:05,"b""Dreams do come true! Mickey\xe2\x80\x99s birthday trip has taken him everywhere \xe2\x80\x93 including Montreal! Stay tuned for what's ne\xe2\x80\xa6 https://t.co/aLIC7ebhx3"""
929319048827064321,2017-11-11 12:05:01,b'Satisfy Your Seasonal Sweet Tooth With These Holiday Treats at Magic Kingdom in @WaltDisneyWorld:\xe2\x80\xa6 https://t.co/xNUR6mp8CA'
929214608103104512,2017-11-11 05:10:01,"b""ICYMI: There's a #HighSchoolMusical TV Series in the Works: https://t.co/Fuan7Hdk08 \xf0\x9f\x8e\xa4 https://t.co/QGwQN0L1yl"""
929183653271408641,2017-11-11 03:07:00,b'ICYMI: #TheLastJedi Writer and Director @rianjohnson to Create New @StarWars Trilogy: https://t.co/y21wDGx5be https://t.co/LQRThp1x0B'
929174816975880193,2017-11-11 02:31:54,"b'.@Disney_Family Is a Green, Mean, Smoothie Machine with this Hulk-Inspired Recipe: https://t.co/JD6krzXGsN\xe2\x80\xa6 https://t.co/U72S6cl7C8'"
929153190435618816,2017-11-11 01:05:58,b'Bow down to the Sultan of @Aladdin trivia! The @OhMyDisney Show puts the original Jafar to the ultimate Disney test\xe2\x80\xa6 https://t.co/9RH19pWDSp'
929122850975420416,2017-11-10 23:05:24,b'The wilderness must be explored! Visit the real-life places that inspired your favorite @DisneyPixar movies. \xf0\x9f\x8c\xb3 https://t.co/mnqaWCiEpq'
929093727989174274,2017-11-10 21:09:41,"b""#PixarCoco's technical director Alonso Martinez reveals the rich history behind the film's most colorful character! https://t.co/mfQZfMgcr9"""
929081668056498176,2017-11-10 20:21:45,"b""RT @DisneyPixar: Who's your #PixarCoco companion? Find out: https://t.co/FVCAT6laZh https://t.co/KQbrs5gFIf"""
929077520040738816,2017-11-10 20:05:16,b'RT @AnthonyBGonzal: Thank you so much for all the LOVE #PixarCoco!! \xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb6\n\n#Thankful #Blessed #Family #Miguel https://t.co/rvFEcpeBne'
929077484410175488,2017-11-10 20:05:08,"b'RT @AnthonyBGonzal: #PixarCoco in theatres November 22nd, 2017!!! \xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb6 https://t.co/VDxunSu00E'"
929002965163233288,2017-11-10 15:09:01,b'Hang in there! #ThorRagnarok is in theaters now. https://t.co/PV7Kpt0bMb'
928987380668809216,2017-11-10 14:07:05,b'Mickey\xe2\x80\x99s California dreaming! Check in to see where he lands next. #HappyBirthdayMickey https://t.co/iKtdibmOVn'
928837328726118400,2017-11-10 04:10:50,"b""Fun facts about your favorite Disney animals! What more are you lookin' for? \xf0\x9f\xa6\x80 https://t.co/u5tShCsoYp"""
928821015286829056,2017-11-10 03:06:01,b'The @shopDisney Friends &amp; Family Sale Is Here: https://t.co/U24jEpZZaT https://t.co/gUBqhg91RZ'
928797465641345024,2017-11-10 01:32:26,b'RT @DisneyParks: https://t.co/rhaaxFJObs'
928743907130671104,2017-11-09 21:59:37,"b""RT @starwars: #TheLastJedi's @rianjohnson is returning to a galaxy far, far away.... https://t.co/UHujwYOGgp https://t.co/dg92hLyQse"""
928730742879789056,2017-11-09 21:07:18,"b""RT @MarvelStudios: His Country's Orders. #BlackPanther https://t.co/PhFTFuFjTy"""
