id,created_at,text
931128599708618752,2017-11-16 11:55:32,b'@Anka_T @Race2Diversity @fleejack Grateful for your retweets!'
930559724323508224,2017-11-14 22:15:01,"b'#Bacteria usually get a bad rap, but this kind does a body good. Learn more about the wondrous world of #probiotics\xe2\x80\xa6 https://t.co/ALrmHjf7Bx'"
930532290949799941,2017-11-14 20:26:01,b'@ifraschina @MaroSaucedo Thanks for the retweets. We appreciate it!'
930493443851374592,2017-11-14 17:51:39,b'We are proud to earn a perfect score on @HRC\xe2\x80\x99s Corporate Equality Index on #LGBTQ equality &amp; inclusion! #CEI2018\xe2\x80\xa6 https://t.co/8vaAaDuCRP'
930420299266392064,2017-11-14 13:01:00,"b'Learn how DuPont is connecting #foodsecurity, #packaging and sustainable development. https://t.co/NB4c87G31V'"
930197339876282369,2017-11-13 22:15:02,"b'Check out this #design competition where students created beautiful, runway-worthy dresses out of DuPont\xe2\x84\xa2 Tyvek\xc2\xae.\xe2\x80\xa6 https://t.co/Uz1ufN6R0O'"
930181227147091970,2017-11-13 21:11:01,b'@_AmyMarsh please connect with our business team at @TyvekConstruct'
929412160106717184,2017-11-11 18:15:01,"b'This #VeteransDay, learn about the life of trailblazer Frank Petersen whose memory was honored by the @USNavy\xe2\x80\xa6 https://t.co/4WvrK1utYJ'"
929366862189727745,2017-11-11 15:15:01,"b""We're proud to make #veterans a priority and be part of the transition many make after their service\xe2\x80\xa6 https://t.co/5mT3nFi1Ya"""
929072140955111424,2017-11-10 19:43:54,b'@mobilityxchange @JuanJZaragoza @ifraschina @IngredientJobs Thanks for your retweets and mentions. We appreciate it!'
928706733727453184,2017-11-09 19:31:54,b'Putting the super in #superfood\xe2\x80\x94see how scientists are improving cultivation of this fruit to help fight hunger.\xe2\x80\xa6 https://t.co/hgUXpD7caR'
928706173720780800,2017-11-09 19:29:40,b'@quimicasandiego @JuanJZaragoza Thanks for the retweets. We appreciate it!'
928696700306448384,2017-11-09 18:52:02,b'@MaroSaucedo @Georgiapeach241 @farasatk @eSherryFleming2 @EleonoreNemethM @RilleaTech @Hazmat1961 Grateful for your RTs. Thanks!'
928361240543617024,2017-11-08 20:39:02,"b'Meet the man who survived life as a refugee, graduated college, and has become an outstanding engineer. #STEMDay\xe2\x80\xa6 https://t.co/U8EbljnKiI'"
928355200087281666,2017-11-08 20:15:02,"b""DuPont's Ting Wang, scientist since childhood, is engaged in work she believes will better humanity. #STEMDay\xe2\x80\xa6 https://t.co/7hIsAKXETH"""
928326620099858432,2017-11-08 18:21:28,b'.@gagenmac Thank you for the good wishes! We appreciate the #agency support &amp; partnership from your team and our friends at @thinkmarketing!'
927950782598610944,2017-11-07 17:28:01,b'The abuse of #fentanyl and #opioids has led to new dangers for law enforcement. Learn about proper #PPE here:\xe2\x80\xa6 https://t.co/1f7FQve5BP'
