id,created_at,text
923398806452035585,2017-10-26 04:00:06,b'Separating fact from fiction on the Trump-Russia dossier\nhttps://t.co/SPqpnqxWCP https://t.co/waU2rE6oAV'
923391284815040513,2017-10-26 03:30:12,"b'Watch Jane Fonda and Gloria Steinem discuss sexism, Weinstein and Trump https://t.co/8cLegRllar https://t.co/1Oyt6iZjku'"
923383755036856321,2017-10-26 03:00:17,b'Will we get more answers when the JFK files are opened tomorrow? https://t.co/Fy3KyZkO4V https://t.co/MXXVMpRxao'
923376155360661504,2017-10-26 02:30:05,b'Report: Data firm that worked for Trump campaign reached out to WikiLeaks about Clinton emails\xe2\x80\xa6 https://t.co/eLwyVv2Hs1'
923368616233447425,2017-10-26 02:00:08,b'Barney Frank: Trump\xe2\x80\x99s campaign promise to rein in Wall Street \xe2\x80\x9cone of the biggest lies of all time\xe2\x80\x9d\xe2\x80\xa6 https://t.co/8nbbutNLxX'
923366696450224128,2017-10-26 01:52:30,"b""RT @allinwithchris: .@Janefonda and @GloriaSteinem on the age of Weinstein, O'Reilly, and Trump https://t.co/D854Y4fbBp #inners"""
923364697860132866,2017-10-26 01:44:33,"b'RT @hardball: ""Donald Trump is a stain and needs to be removed and that means impeachment or the 25th amendment."" -Ron Reagan Jr. \nhttps://\xe2\x80\xa6'"
923362220209311744,2017-10-26 01:34:43,"b'RT @TheBeatWithAri: The Dossier question was never who funded it, but whether its portrait of Russia is \xe2\x80\x9cauthentic or a forgery\xe2\x80\x9d\nMelber: ht\xe2\x80\xa6'"
923361240428269568,2017-10-26 01:30:49,"b'RT @hardball: .@HardballChris wonders when the JFK files get released tomorrow, will we get answers? WATCH: https://t.co/Jb2JXj64n9'"
923361085071282176,2017-10-26 01:30:12,"b""Judge rules Trump doesn't have to resume Obamacare subsidies https://t.co/zR3EL26rto https://t.co/IZlFtwXouD"""
923353533998608384,2017-10-26 01:00:12,b'Talks between President Trump and North Korea are breaking down https://t.co/E1MroDrom0 https://t.co/BJL7Mu2kFS'
923345961069498369,2017-10-26 00:30:06,b'How Trump is inadvertently uniting voters on the left and the right https://t.co/ynukJHz9gd https://t.co/zgBEkU5kG9'
923338436282601472,2017-10-26 00:00:12,"b'Ron Reagan: ""Donald Trump is a deeply damaged human being"" https://t.co/FmUFg3970i https://t.co/iAWDfPNv02'"
923330846098063361,2017-10-25 23:30:03,"b""After the Flake/Corker fallout, what's next for a divided GOP? https://t.co/4KVD494cN8 https://t.co/sVFlCbjmgb"""
923323446209269760,2017-10-25 23:00:38,"b'RT @TheBeatWithAri: Trump promise to rein in Wall Street ""one of the biggest lies of all time"" @BarneyFrank of Dodd-Frank https://t.co/Geb6\xe2\x80\xa6'"
