id,created_at,text
931099713159553024,2017-11-16 10:00:45,"b'This #Holiday season, we have the opportunity to help provide joy, courage, and togetherness to families in need. J\xe2\x80\xa6 https://t.co/rQWXQii9nD'"
930948533477347328,2017-11-16 00:00:01,b'Help us celebrate #NationalPhilanthropyDay by making happy moments of togetherness possible for @RMHC families all\xe2\x80\xa6 https://t.co/F798TwxIil'
930940984237666304,2017-11-15 23:30:01,"b'Rain or shine, @McDonalds_VE has what you need! #HumpDay https://t.co/s6uA4fyRX9'"
930918334333378560,2017-11-15 22:00:01,"b""Do you have a favorite meal at McDonald's? Snap a photo and share it with us! \xf0\x9f\x8d\x94 \xf0\x9f\x8d\x9f https://t.co/b7w7cS2AmH"""
930903234666954760,2017-11-15 21:00:01,b'\xf0\x9f\x8d\x94 and \xf0\x9f\x8d\x9f make every jam session better! #WednesdayWisdom https://t.co/pEhH8ts8vK'
930548878595772416,2017-11-14 21:31:56,b'Dinner Date \xe2\x9d\xa4 #TuesdayThoughts with @McDonalds_BR https://t.co/3YLiSx5WJ3'
930253957355724800,2017-11-14 02:00:01,b'Which would you pick at @McDonaldsMexico? \xf0\x9f\x98\x80 https://t.co/srS5CiCk9r'
930208678480932864,2017-11-13 23:00:06,b'Thanks to everyone who helped @RMHCUK meet this amazing milestone! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/gfMjb3NaWb'
930183492960444416,2017-11-13 21:20:01,b'Is it ever too early to get #ReindeerReady? #McCaf\xc3\xa9\xf0\x9f\x91\x8c https://t.co/suColeZdEW'
930163392458952704,2017-11-13 20:00:09,"b""An iconic sandwich and a smile. It'a winning combination! \n\nRT if you agree. \xf0\x9f\x98\x80  \xf0\x9f\x8d\x94 https://t.co/fBmu28YwYs"""
929408385136685056,2017-11-11 18:00:01,"b""Meet Ida. She's the youngest entrepreneur who has been selected to support our agriculture initiatives in Italy: https://t.co/PQ7iBgYBv8"""
929122271167418368,2017-11-10 23:03:06,"b'Happy #McD\xc3\xadaFeliz! With the purchase of a Big Mac at @McDonalds_Ar today, you will help @casaronaldar improve the h\xe2\x80\xa6 https://t.co/pS6Givwasx'"
